course_id,Quality,Difficulty,For Credit,Would Take Again,Grade,Textbook,Comment,professor,department,Attendance,Online Class
 FHS010,5.0,2.0,Yes,Yes,A,No,"Professor Nichols is super nice and very wholesome! There is a lot of reading, but you can get by without doing very much of it. He does talk a LOT and doesn't foster as much discussion, but I think the latter might also be because people stop doing the readings a few weeks in. He does appreciate participation and gives great essay feedback!",James Nichols ,Government department,,
 FHS010,3.0,1.0,Yes,No,,No,"Very chill class and teacher, very easy grader, but talks for most of the class and does not really foster discussion.",James Nichols ,Government department,Mandatory,
 POLPHILOSOPHY,4.0,1.0,Yes,,,Yes,"Awesome, easy, knows literally everything about his subject it is crazy!",James Nichols ,Government department,,
 FHS010,5.0,2.0,,,,Yes,"Prof. Nichols is a super nice and encouraging man. And most importantly, he is extremely knowledgeable and you will learn a great deal from him. The class is pretty easy 'cause he's an easy grader. He takes rolls at the beginning of the semester but you will be fine if you don't go to this class from time to time. Highly recommend!",James Nichols ,Government department,,
 FHS10,5.0,1.0,,,,Yes,Good Professor. Really nice and encouraging teacher. Class moves along at an enjoyable but swift pace.,James Nichols ,Government department,,
 CIV10,4.5,2.0,,,,Yes,Not very difficult and the reading is not very difficult. He knows his stuff.,James Nichols ,Government department,,
 CIV10,4.0,1.0,,,,Yes,"If you aren't looking forward to taking Civ, take nichols. He doesn't hold you responsible for the reading and he is an easy grader. The assessments are reasonable and infrequent. The class is pretty boring, but it is important to go. Just regurgitate the lectures in your papers with a little extra insight and you'll do really well.",James Nichols ,Government department,,
 CIV10,3.5,2.0,,,,Yes,"Smart guy. Is obviously interested in the books he chose and knows alot about them. If yo don't do the reading, you can get by. It's more interesting if you do though. Was on friday at 10 which was less than ideal, but a pretty good teacher. Papers were really easy. Just pay attention in class, and expand his ideas.",James Nichols ,Government department,,
 CIV10,4.0,1.0,,,,Yes,"If you don't like the idea of having to take Civ, then Nichols is the guy for you. Discussions are more like lectures, so he doesn't hold people responsible for the reading. He grades papers generously and there aren't very many of them. You won't have fun, but it won't be that  much work and you'll do decently.",James Nichols ,Government department,,
 CIV10,5.0,2.0,,,,Yes,"Nichols is an amazing professor--managed to make a course often regarded as filler extremely interesting.  Nichols speaks animatedly and is willing to engage students in a fast-paced, firm, yet comedic manner.  Harder than other Civ sections, but well worth the added papers/readings and final.  Very accommodating.  You will enjoy this course.",James Nichols ,Government department,,
 CIV10,5.0,2.0,,,,Yes,"Prof. Nichols is my favorite professor at CMC. He is so passionate about the subjects that we discuss and is always willing to discuss anything if you have questions. That being said, he is not as easy as most civ professors, but he really cares.",James Nichols ,Government department,,
 CIV10,5.0,3.0,,,,Yes,Nichols is the best civ prof period,James Nichols ,Government department,,
 GOV80,4.0,3.0,,,A,,"Nichols may be a goofy bald man, but between the giggles and the chin rubbing, this might have been the most i've learned in any class.  interesting stuff too.",James Nichols ,Government department,Mandatory,
 CIV10,4.5,2.0,,,,,Unbelievable professor. Makes class a lot of fun and is an interesting professor. Not too bad looking either-and he likes the Dodgers,James Nichols ,Government department,,
 CIV10,3.5,3.0,,,,,Very goofy guy. During discussions he would stop for 2 SECONDS to see if we had any comments and launch into his own exposition. In retrospect the class was pretty easy and I got exactly what I thought I would get from Civ 10. Just enough.,James Nichols ,Government department,,
